date,contract_preamble,strike,yes_price,daily_volume,expiry_date,adjusted_yes_price,probability,swapped
2023-09-15,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-16,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-17,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-18,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-19,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-20,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-21,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-22,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-23,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-24,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-25,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-26,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-27,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-28,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-29,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-09-30,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-01,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-02,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-03,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-04,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-05,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-06,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-07,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-08,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-09,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-10,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-11,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2023-10-12,CPICOREYOY-23SEP,2.5,NA,NA,2023-10-12,NA,0,FALSE
2024-09-09,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-10,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-11,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-12,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-13,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-14,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-15,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-16,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
2024-09-17,CPICOREYOY-24SEP,2.5,NA,NA,2024-10-09,NA,0,FALSE
