date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance
2021-12-27,FED-22JAN,2022-01-26,0.07908163265306123,0,0,1,-1.4089964019565753,0.013516503540191585
2021-12-28,FED-22JAN,2022-01-26,0.05102040816326531,0,0,1,0.09232237636027607,0.010152019991670138
2021-12-29,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2021-12-30,FED-22JAN,2022-01-26,0.04846938775510204,0,0,1,0.32939979483343196,0.009768065389421075
2021-12-31,FED-22JAN,2022-01-26,0.01020408163265306,0,0,1,19.084848290162785,0.0024468971261974175
2022-01-01,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-02,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-03,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-04,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2022-01-05,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-06,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2022-01-07,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2022-01-08,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2022-01-09,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-10,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-11,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-12,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-13,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-14,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-15,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-16,FED-22JAN,2022-01-26,0.002551020408163265,0,0,1,91.06091211995002,6.312473969179508e-4
2022-01-19,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-20,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-21,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-22,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-23,FED-22JAN,2022-01-26,0.00510204081632653,0,0,1,43.066120453283354,0.0012494793835901706
2022-01-24,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2022-01-25,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2022-01-26,FED-22JAN,2022-01-26,0.007653061224489796,0,0,1,27.07494720766933,0.0018546959600166594
2022-02-11,FED-22MAR,2022-03-16,0.4260204081632653,0.5,0.5,-0.8285714285714285,0.7140226051031333,0.02067497917534361
2022-02-11,FED-22MAY,2022-05-04,0.6862244897959183,0.75,0.75,-0.5319148936170207,-0.3039600199597188,0.02845819450229071
2022-02-12,FED-22MAR,2022-03-16,0.3622448979591837,0.25,0.5,0.8148148148148145,-0.515940281437854,0.02311536859641816
2022-02-12,FED-22MAY,2022-05-04,0.6709183673469388,0.75,0.75,-0.543859649122807,0.8692849144733654,0.042853238234069134
2022-02-13,FED-22MAR,2022-03-16,0.36989795918367346,0.5,0.5,-0.9622641509433962,-0.5391222184900313,0.021976520199916704
